Fish ID,Trial,Fish Species,Tank Position,Pair treatment,Fish length (mm),Fish weight (g),Pellets eaten per dyad 18C,Pellets eaten per fish 18C,Pellets by species 18C,First to feed (y/n) 18C,Feeding latency (s) 18C,Feeding latency censor 18C,Position at start 18C,Bumps 18C,Chases 18C,Pellets eaten per dyad 20C,Pellets eaten per fish 20C,Pellets by species 20C,First to feed (y/n) 20C,Feeding latency (s) 20C,Feeding latency censor 20C,Position at start 20C,Bumps 20C,Chases 20C,Pellets eaten per dyad 22C,Pellets eaten per fish 22C,Pellets by Species 22C,First to feed (y/n) 22C,Feeding latency (s) 22C,Feeding latency censor 22C,Position at start 22C,Bumps 22C,Chases 22C
T1BTLeft4B,1,Brook Trout,Left4,B,195,72.4,6,3,,,4,Uncensored,Bottom,0,0,10,5,,,20,Uncensored,Bottom,0,0,8,4,,,3,Uncensored,Bottom,0,0
T2BTLeft4B,2,Brook Trout,Left4,B,206,85.4,0,0,,,300,Censored,Bottom,0,0,0,0,,,300,Censored,Bottom,0,0,0,0,,,300,Censored,Bottom,0,0
T3BTRight4B,3,Brook Trout,Right4,B,192,70.2,15,7.5,,,1,Uncensored,Bottom,0,0,15,7.5,,,1,Uncensored,Bottom,0,0,14,7,,,116,Uncensored,Hide,0,0
T4BTLeft4B,4,Brook Trout,Left4,B,207,89.8,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Top,0,0,14,7,,,9,Uncensored,Bottom,0,0
T5BTLeft4B,5,Brook Trout,Left4,B,203,82.6,8,4,,,201,Uncensored,Bottom,0,0,15,7.5,,,2,Uncensored,Top,0,0,15,7.5,,,2,Uncensored,Top,0,0
T6BTLeft4B,6,Brook Trout,Left4,B,214,81.5,15,7.5,,,1,Uncensored,Bottom,0,0,14,7,,,36,Uncensored,Top,0,0,15,7.5,,,1,Uncensored,Bottom,0,0
T7BTRight4B,7,Brook Trout,Right4,B,215,90.5,15,7.5,,,1,Uncensored,Top,0,0,15,7.5,,,1,Uncensored,Top,0,0,15,7.5,,,4,Uncensored,Top,0,0
T1BT1Top1BB,1,Brook Trout,Top1,BB,197,68.8,6,3,,,4,Uncensored,Hide,0,0,12,6,,,2,Uncensored,Top,0,1,15,7.5,,,2,Uncensored,Bottom,0,1
T1BT2Top1BB,1,Brook Trout,Top1,BB,196,69.5,6,3,,,4,Uncensored,Hide,0,0,12,6,,,2,Uncensored,Hide,0,1,15,7.5,,,2,Uncensored,Hide,0,1
T1BT1Mid2BB,1,Brook Trout,Mid2,BB,194,66.3,13,6.5,,,83,Uncensored,Hide,0,0,11,5.5,,,101,Uncensored,Hide,0,0,15,7.5,,,1,Uncensored,Bottom,0,1
T1BT2Mid2BB,1,Brook Trout,Mid2,BB,204,84.1,13,6.5,,,83,Uncensored,Hide,0,0,11,5.5,,,101,Uncensored,Hide,0,0,15,7.5,,,1,Uncensored,Bottom,0,1
T1BT1Bot3BB,1,Brook Trout,Bot3,BB,203,83.8,15,7.5,,,2,Uncensored,Top,0,0,15,7.5,,,3,Uncensored,Hide,0,0,15,7.5,,,2,Uncensored,Bottom,0,0
T1BT2Bot3BB,1,Brook Trout,Bot3,BB,206,83.6,15,7.5,,,2,Uncensored,Top,0,0,15,7.5,,,3,Uncensored,Bottom,0,0,15,7.5,,,300,Censored,Hide,0,0
T2BT1Bot1BB,2,Brook Trout,Bot1,BB,194,74.6,6,3,,,24,Uncensored,Bottom,1,3,6,3,,,102,Uncensored,Top,0,0,4,2,,,126,Uncensored,Top,0,0
T2BT2Bot1BB,2,Brook Trout,Bot1,BB,191,67.3,6,3,,,24,Uncensored,Hide,1,3,6,3,,,102,Uncensored,Top,0,0,4,2,,,300,Censored,Hide,0,0
T2BT1Top2BB,2,Brook Trout,Top2,BB,173,46,9,4.5,,,3,Uncensored,Bottom,0,0,5,2.5,,,1447,Uncensored,Top,0,0,0,0,,,300,Censored,Hide,0,0
T2BT2Top2BB,2,Brook Trout,Top2,BB,174,56.5,9,4.5,,,3,Uncensored,Hide,0,0,5,2.5,,,147,Uncensored,Hide,0,0,0,0,,,300,Censored,Hide,0,0
T2BT1Mid3BB,2,Brook Trout,Mid3,BB,194,66.4,15,7.5,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Bottom,0,0,13,6.5,,,6,Uncensored,Top,0,0
T2BT2Mid3BB,2,Brook Trout,Mid3,BB,190,64,15,7.5,,,1,Uncensored,Top,0,0,0,0,,,300,Censored,Hide,0,0,0,0,,,6,Uncensored,Top,0,0
T3BT1Mid1BB,3,Brook Trout,Mid1,BB,198,82.6,15,7.5,,,2,Uncensored,Bottom,0,0,9,4.5,,,178,Uncensored,Bottom,0,0,0,0,,,300,Censored,Bottom,0,0
T3BT2Mid1BB,3,Brook Trout,Mid1,BB,196,73,15,7.5,,,2,Uncensored,Bottom,0,0,9,4.5,,,178,Uncensored,Hide,0,0,0,0,,,300,Censored,Bottom,0,0
T3BT1Bot2BB,3,Brook Trout,Bot2,BB,190,69.2,13,6.5,,,40,Uncensored,Bottom,0,3,8,4,,,210,Uncensored,Bottom,0,0,0,0,,,300,Censored,Bottom,0,0
T3BT2Bot2BB,3,Brook Trout,Bot2,BB,186,62.5,13,6.5,,,40,Uncensored,Hide,0,3,8,4,,,210,Uncensored,Hide,0,0,0,0,,,300,Censored,Bottom,0,0
T3BT1Top3BB,3,Brook Trout,Top3,BB,207,76.7,14,7,,,17,Uncensored,Bottom,9,13,0,0,,,300,Censored,Bottom,0,0,0,0,,,300,Censored,Bottom,0,0
T3BT2Top3BB,3,Brook Trout,Top3,BB,210,83.7,14,7,,,17,Uncensored,Hide,9,13,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0
T4BT1Bot1BB,4,Brook Trout,Bot1,BB,203,75.6,15,7.5,,,6,Uncensored,Top,0,0,3,1.5,,,238,Uncensored,Bottom,0,0,11,5.5,,,143,Uncensored,Hide,0,0
T4BT2Bot1BB,4,Brook Trout,Bot1,BB,210,93.3,15,7.5,,,6,Uncensored,Hide,0,0,3,1.5,,,238,Uncensored,Hide,0,0,11,5.5,,,143,Uncensored,Hide,0,0
T4BT1Top2BB,4,Brook Trout,Top2,BB,206,76.3,15,7.5,,,7,Uncensored,Top,0,0,13,6.5,,,85,Uncensored,Top,0,0,3,1.5,,,278,Uncensored,Bottom,0,0
T4BT2Top2BB,4,Brook Trout,Top2,BB,210,98.3,15,7.5,,,7,Uncensored,Hide,0,0,13,6.5,,,85,Uncensored,Bottom,0,0,3,1.5,,,278,Uncensored,Hide,0,0
T4BT1Mid2BB,4,Brook Trout,Mid2,BB,205,77.6,15,7.5,,,2,Uncensored,Bottom,0,6,11,5.5,,,120,Uncensored,Bottom,3,3,13,6.5,,,139,Uncensored,Hide,0,0
T4BT2Mid2BB,4,Brook Trout,Mid2,BB,207,85,15,7.5,,,2,Uncensored,Bottom,0,6,11,5.5,,,120,Uncensored,Bottom,3,3,13,6.5,,,139,Uncensored,Hide,0,0
T5BT1Top1BB,5,Brook Trout,Top1,BB,202,75.3,0,0,,,300,Censored,Bottom,0,0,15,7.5,,,3,Uncensored,Bottom,0,0,14,7,,,20,Uncensored,Top,0,0
T5BT2Top1BB,5,Brook Trout,Top1,BB,196,69.8,0,0,,,300,Censored,Hide,0,0,15,7.5,,,300,Censored,Hide,0,0,14,7,,,20,Uncensored,Hide,0,0
T5BT1Mid2BB,5,Brook Trout,Mid2,BB,185,70.8,15,7.5,,,5,Uncensored,Bottom,0,0,15,7.5,,,1,Uncensored,Top,0,0,155,77.5,,,2,Uncensored,Top,0,0
T5BT2Mid2BB,5,Brook Trout,Mid2,BB,189,69.8,15,7.5,,,5,Uncensored,Hide,0,0,15,7.5,,,1,Uncensored,Hide,0,0,15,7.5,,,2,Uncensored,Hide,0,0
T5BT1Bot3BB,5,Brook Trout,Bot3,BB,197,81.2,0,0,,,300,Censored,Hide,0,0,,,,,,,,,,,,,,,,,,
T5BT2Bot3BB,5,Brook Trout,Bot3,BB,198,78.1,0,0,,,300,Censored,Hide,0,0,,,,,,,,,,,,,,,,,,
T6BT1Top1BB,6,Brook Trout,Top1,BB,191,70.8,0,0,,,300,Censored,Bottom,0,0,13,6.5,,,10,Uncensored,Top,0,0,0,0,,,300,Censored,Bottom,0,0
T6BT2Top1BB,6,Brook Trout,Top1,BB,186,66.8,0,0,,,300,Censored,Hide,0,0,13,6.5,,,10,Uncensored,Hide,0,0,0,0,,,300,Censored,Hide,0,0
T6BT1Mid2BB,6,Brook Trout,Mid2,BB,194,65.4,14,7,,,3,Uncensored,Bottom,0,0,15,7.5,,,22,Uncensored,Bottom,0,0,5,2.5,,,7,Uncensored,Bottom,0,0
T6BT2Mid2BB,6,Brook Trout,Mid2,BB,191,71.2,14,7,,,3,Uncensored,Hide,0,0,15,7.5,,,22,Uncensored,Bottom,0,0,5,2.5,,,300,Censored,Hide,0,0
T6BT1Bot3BB,6,Brook Trout,Bot3,BB,198,72.2,14,7,,,22,Uncensored,Bottom,0,0,0,0,,,300,Censored,Hide,0,0,12,6,,,7,Uncensored,Top,0,0
